Disease,s1,s2,s3,s4,s5,s6
15,33,35,35,11,38,32
15,24,27,18,50,38,32
15,33,27,18,50,38,32
15,33,35,18,50,38,32
15,33,35,35,50,38,32
15,24,27,18,50,38,32
15,33,27,18,50,38,32
15,33,35,18,50,38,32
15,33,35,35,50,38,32
15,33,35,35,11,38,32
4,8,33,11,45,38,32
4,23,9,50,50,38,32
4,8,9,50,50,38,32
4,8,33,50,50,38,32
4,8,33,11,50,38,32
4,23,9,50,50,38,32
4,8,9,50,50,38,32
4,8,33,50,50,38,32
4,8,33,11,50,38,32
4,8,33,11,45,38,32
16,26,1,48,44,4,3
16,26,41,49,8,3,32
16,26,1,49,8,3,32
16,26,1,48,8,3,32
16,26,1,48,44,3,32
16,26,1,48,44,4,32
16,0,41,49,8,3,32
16,26,41,49,8,3,32
16,26,1,49,8,3,32
16,26,1,48,8,3,32
9,33,42,53,29,21,0
9,28,47,33,25,0,30
9,33,47,33,25,0,30
9,33,42,33,25,0,30
9,33,42,53,25,0,30
9,33,42,53,29,0,30
9,33,42,53,29,21,30
9,33,42,53,29,21,0
9,33,42,53,29,21,0
9,33,42,53,29,21,0
14,33,35,44,5,28,32
14,33,37,9,39,38,32
14,33,35,9,39,38,32
14,33,35,44,39,38,32
14,33,35,44,5,38,32
14,24,37,9,39,38,32
14,33,37,9,39,38,32
14,33,35,9,39,38,32
14,33,35,44,39,38,32
14,33,35,44,5,38,32
33,28,23,0,32,16,32
33,28,19,0,32,16,32
33,14,23,0,32,16,32
33,28,23,0,32,16,32
33,28,19,0,32,16,32
33,28,19,29,32,16,32
33,28,19,29,0,16,32
33,28,19,29,0,26,32
33,28,19,29,0,26,16
33,28,19,29,0,26,16
1,17,30,24,15,38,32
1,21,18,20,50,38,32
1,17,18,20,50,38,32
1,17,30,20,50,38,32
1,17,30,24,50,38,32
1,17,30,24,15,38,32
1,17,30,24,15,38,32
1,21,18,20,50,38,32
1,17,18,20,50,38,32
1,17,30,24,50,38,32
12,11,46,39,24,17,1
12,11,46,39,24,17,1
12,31,32,28,21,1,21
12,11,32,28,21,1,21
12,11,46,28,21,1,21
12,11,46,39,21,1,21
12,11,46,39,24,1,21
12,11,46,39,24,17,21
12,11,46,39,24,17,1
12,11,46,39,24,17,1
17,28,38,16,10,38,32
17,28,38,16,10,38,32
17,27,13,17,50,38,32
17,28,13,17,50,38,32
17,28,38,17,50,38,32
17,28,38,16,50,38,32
17,28,38,16,10,38,32
17,27,13,17,50,38,32
17,28,13,17,50,38,32
17,28,38,17,50,38,32
6,11,11,24,4,10,19
6,9,18,7,16,23,32
6,11,18,7,16,23,32
6,11,11,7,16,23,32
6,11,11,24,16,23,32
6,11,11,24,4,23,32
6,11,11,24,4,10,32
6,11,11,24,4,10,19
6,9,18,7,16,23,32
6,11,18,7,16,23,32
23,12,8,19,26,19,32
23,5,14,30,23,38,32
23,12,14,30,23,38,32
23,12,8,30,23,38,32
23,12,8,19,23,38,32
23,12,8,19,26,38,32
23,12,8,19,26,19,32
23,5,14,30,23,38,32
23,12,14,30,23,38,32
23,12,8,30,23,38,32
30,0,19,23,3,9,25
30,14,17,6,14,29,6
30,0,17,6,14,29,6
30,0,19,6,14,29,6
30,0,19,23,14,29,6
30,0,19,23,3,29,6
30,0,19,23,3,9,6
30,0,19,23,3,9,25
30,0,19,23,3,9,25
30,0,19,23,3,9,25
7,1,43,34,13,22,32
7,1,43,34,13,22,32
7,29,26,19,26,38,32
7,1,26,19,26,38,32
7,1,43,19,26,38,32
7,1,43,34,26,38,32
7,1,43,34,13,38,32
7,1,43,34,13,22,32
7,29,26,19,26,38,32
7,1,26,19,26,38,32
32,28,17,51,1,38,32
32,28,17,51,1,38,32
32,12,44,1,50,38,32
32,28,44,1,50,38,32
32,28,17,1,50,38,32
32,28,17,51,50,38,32
32,28,17,51,1,38,32
32,12,44,1,50,38,32
32,28,44,1,50,38,32
32,28,17,1,50,38,32
28,33,42,21,46,13,31
28,33,42,21,46,13,31
28,28,15,52,19,37,5
28,33,15,52,19,37,5
28,33,42,52,19,37,5
28,33,42,21,19,37,5
28,33,42,21,46,37,5
28,33,42,21,46,13,5
28,33,42,21,46,13,31
28,33,42,21,46,13,31
29,6,42,24,40,12,20
29,6,42,24,40,12,20
29,6,42,24,40,12,20
29,28,18,45,18,24,7
29,6,18,45,18,24,7
29,6,42,45,18,24,7
29,6,42,24,18,24,7
29,6,42,24,40,24,7
29,6,42,24,40,12,7
29,6,42,24,40,12,20
8,33,35,21,24,13,12
8,24,15,28,19,12,17
8,33,15,28,19,12,17
8,33,35,28,19,12,17
8,33,35,21,19,12,17
8,33,35,21,24,12,17
8,33,35,21,24,13,17
8,33,35,21,24,13,12
8,33,35,21,24,13,12
8,33,35,21,24,13,12
11,24,9,26,44,11,13
11,24,9,26,44,11,13
11,24,9,26,44,11,13
11,24,9,26,44,11,13
11,6,20,49,17,13,12
11,24,20,49,17,13,12
11,24,9,49,17,13,12
11,24,9,26,17,13,12
11,24,9,26,44,13,12
11,24,9,26,44,11,12
37,6,42,21,19,24,4
37,6,42,21,19,12,4
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,42,21,19,12,20
37,6,15,24,18,24,4
40,15,42,53,9,24,17
40,15,42,53,9,24,17
40,28,47,15,29,21,0
40,15,47,15,29,21,0
40,15,42,15,29,21,0
40,15,42,53,29,21,0
40,15,42,53,9,21,0
40,15,42,53,9,24,0
40,15,42,53,9,24,17
40,15,42,53,9,24,17
19,33,15,28,49,5,17
19,33,15,28,49,5,17
19,11,22,53,9,21,0
19,33,22,53,9,21,0
19,33,15,53,9,21,0
19,33,15,28,9,21,0
19,33,15,28,49,21,0
19,33,15,28,49,5,0
19,33,15,28,49,5,17
19,33,15,28,49,5,17
20,11,47,33,25,10,32
20,11,47,33,25,36,9
20,32,25,29,48,10,32
20,11,25,29,48,10,32
20,11,47,29,48,10,32
20,11,47,33,48,10,32
20,11,47,33,25,10,32
20,11,47,33,25,36,32
20,11,47,33,25,36,9
20,11,47,33,25,36,9
21,15,42,21,49,5,20
21,28,15,53,9,24,17
21,15,15,53,9,24,17
21,15,42,53,9,24,17
21,15,42,21,9,24,17
21,15,42,21,49,24,17
21,15,42,21,49,5,17
21,15,42,21,49,5,20
21,15,42,21,49,5,20
21,15,42,21,49,5,20
22,15,42,21,19,37,5
22,15,42,21,19,37,5
